40363,0.66,-0.39,3.76,9.18,-46.47,0.25,0.07,-0.01,-0.27,-9.5,4
40379,1.45,1.46,3.48,9.51,-51.71,-0.25,0.06,-0.01,0.87,-10.29,4
40396,1.63,1.08,9.42,4.79,-53.17,-0.25,0.08,0.01,0.69,-10.22,4
40412,1.19,-0.8,9.16,6.07,-47.94,-0.05,0.1,0,-0.48,-10.01,5
40431,1.19,-1.65,6.94,7.41,-46.68,0.25,0.09,0,-1.02,-9.25,4
40451,1.1,-0.09,4.81,8.84,-48.15,0.25,0.06,-0.01,-0.08,-9.45,5
40472,1.36,2.13,4.49,8.41,-52.54,-0.25,0.05,-0.01,1.29,-10.5,4
40487,1.98,1.64,9.68,3.65,-55.47,-0.25,0.07,0.01,1.04,-10.97,4
40502,1.45,-0.03,9.96,5.36,-51.5,-0.25,0.11,0.01,0,-10.26,5
40519,1.28,-1.5,10.51,3.46,-47.94,0.13,0.12,0.01,-0.89,-9.26,4
40539,0.66,-1.18,4.23,8.84,-46.89,0.25,0.09,-0.01,-0.76,-9.29,4
40557,1.28,0.58,3.64,8.97,-49.82,-0.06,0.06,-0.01,0.33,-10,5
40577,1.45,0.87,8.43,5.77,-52.54,-0.25,0.07,0,0.55,-10.51,5
40597,1.36,-0.22,7.37,6.13,-51.08,-0.01,0.08,0,-0.13,-10.3,4
40617,1.28,-0.63,7.37,6.88,-49.19,0.21,0.08,0,-0.39,-9.88,4
40637,1.28,-0.11,5.78,7.8,-48.77,0.16,0.07,0,-0.08,-9.92,5
40653,1.45,0.45,6.65,7.14,-51.08,-0.03,0.06,0,0.28,-10.21,5
40669,1.45,0.48,7.57,6.39,-51.29,-0.13,0.06,0,0.3,-10.21,4
40688,1.28,-0.09,9.29,4.76,-49.82,0.05,0.07,0.01,-0.03,-10.01,4
40707,1.28,0.06,6.22,7.96,-49.82,0.09,0.06,0,0.03,-10.04,4
40724,1.45,0.5,5.28,8.39,-50.24,-0.11,0.06,0,0.29,-10.29,5
40743,1.45,0.21,8.27,5.41,-50.5,-0.08,0.07,0,0.15,-10.17,5
40800,0.57,-1.59,7.35,6.27,-46.68,0.25,0.05,0,-0.98,-9.33,5
40820,0.31,-1.39,5.62,7.77,-46.26,0.25,0.02,0,-0.87,-9.25,4
40836,0.04,-0.87,6.7,7.1,-47.94,0.25,0,0,-0.54,-9.67,5
40854,0.31,-0.43,6.09,8.25,-48.57,0.25,-0.02,0,-0.28,-9.79,4
40871,-0.13,-0.03,6.5,7.48,-50.03,0.25,-0.03,0,-0.02,-10.13,4
40888,0.04,0.39,6.69,7.06,-51.29,0.25,-0.03,0,0.24,-10.21,5
40904,0.22,0.82,6.04,7.29,-52.96,0.25,-0.03,0,0.5,-10.75,4
40920,0.4,1.14,6.72,7.19,-53.59,0.25,-0.02,0,0.7,-10.8,4
40935,0.75,1.52,6.08,7.83,-54.43,0.11,-0.01,0,0.93,-10.96,5
40951,1.28,1.96,6.44,7.63,-56.1,-0.25,0.02,0,1.21,-11.3,5
40966,1.54,1.8,8.98,5.5,-56.52,-0.25,0.05,0.01,1.13,-11.09,4
40982,1.89,1.16,8.92,5.79,-54.43,-0.25,0.08,0.01,0.73,-10.84,4
40996,1.89,0.7,8.45,6.22,-53.59,-0.25,0.1,0,0.44,-10.72,4
41012,1.89,0.23,8.52,5.83,-52.75,-0.25,0.11,0,0.16,-10.59,4
41026,1.98,-0.17,8.88,6.16,-51.29,-0.25,0.11,0,-0.09,-10.34,4
41042,1.8,-0.69,8.5,5.37,-50.03,-0.05,0.11,0,-0.41,-10.05,4
41059,1.36,-1.11,7.28,7.08,-49.19,0.25,0.1,0,-0.69,-9.84,4
41075,1.89,-0.84,6.73,7.05,-48.77,0.25,0.08,0,-0.52,-9.88,4
41094,1.19,-0.19,6.18,7.02,-50.45,0.18,0.07,0,-0.12,-10.13,4
