15215; -2.16; 0.35; 6.50; 7.88; 29.52; -0.07; -0.05; -5.50
15225; -2.16; 0.08; 8.54; 5.94; 31.19; 0.00; -0.05; 10.19
15235; -2.16; 0.08; 7.31; 7.66; 30.14; -0.02; -0.04; -1.35
15244; -2.24; -0.20; 7.66; 6.30; 30.77; 0.10; -0.04; 5.56
15256; -2.16; 0.12; 6.92; 7.91; 30.14; -0.06; -0.04; -3.79
15265; -2.24; -0.00; 7.93; 6.18; 30.56; -0.02; -0.04; 7.10
15275; -2.24; -0.14; 7.75; 6.83; 29.31; 0.04; -0.04; 3.60
15284; -1.98; -0.15; 6.21; 7.59; 30.14; 0.05; -0.04; -5.73
15293; -2.33; 0.01; 6.16; 7.85; 29.31; 0.01; -0.04; -6.91
15303; -2.16; 0.02; 6.22; 7.35; 29.10; 0.04; -0.05; -4.76
15313; -2.33; 0.13; 5.68; 7.76; 28.47; 0.01; -0.05; -8.80
15324; -2.33; 0.12; 6.51; 7.57; 28.68; 0.02; -0.05; -4.28
15333; -2.24; 0.14; 5.97; 7.49; 28.05; 0.03; -0.05; -6.44
15343; -2.16; 0.18; 6.78; 6.84; 27.84; 0.01; -0.05; -0.27
15355; -2.24; 0.08; 7.83; 7.12; 28.05; 0.02; -0.05; 2.73
15364; -2.07; 0.17; 6.84; 7.51; 27.63; -0.04; -0.04; -2.66
15374; -2.07; -0.05; 7.81; 6.31; 27.00; 0.06; -0.04; 6.07
15385; -2.24; 0.12; 6.86; 7.23; 27.42; -0.05; -0.04; -1.48
15397; -2.16; -0.12; 7.97; 6.16; 27.42; 0.04; -0.04; 7.30
15407; -2.24; -0.13; 6.44; 7.61; 26.59; 0.07; -0.04; -4.75
15416; -2.33; -0.01; 6.02; 7.67; 26.79; 0.03; -0.04; -6.87
15428; -2.24; 0.17; 5.34; 7.91; 26.17; -0.02; -0.04; -10.95
15439; -2.07; 0.10; 7.16; 7.28; 25.75; 0.03; -0.05; -0.48
15448; -2.24; 0.07; 5.70; 7.78; 25.33; 0.06; -0.05; -8.76
15460; -2.16; 0.27; 6.19; 7.56; 25.33; -0.02; -0.05; -5.71
15471; -2.95; 0.15; 7.27; 6.73; 24.70; 0.02; -0.05; 2.23
15480; -2.16; 0.20; 6.35; 7.34; 24.70; -0.02; -0.04; -4.14
15490; -2.24; 0.01; 6.64; 6.88; 24.28; 0.08; -0.04; -1.02
15501; -2.16; 0.29; 5.21; 7.95; 24.07; -0.04; -0.04; -11.74
15512; -2.07; 0.11; 7.48; 6.40; 24.49; 0.03; -0.04; 4.43
15522; -2.07; 0.21; 6.62; 7.74; 24.07; -0.04; -0.04; -4.47
15533; -2.07; 0.01; 7.54; 6.20; 23.65; 0.05; -0.04; 5.57
15543; -2.07; 0.07; 5.68; 8.04; 23.45; 0.02; -0.04; -9.76
15554; -2.07; 0.14; 6.37; 7.43; 23.03; 0.02; -0.04; -4.42
