32370,0.04,0.1,7.22,6.81,-5.44
32380,-0.04,0.09,6.72,7.15,-5.44
32388,0.66,0.12,7.05,6.85,-5.44
32398,0.04,0.06,7.26,6.85,-5.86
32407,-0.13,0.11,6.63,7.21,-5.86
32416,-0.04,0.11,7.2,6.75,-5.65
32426,-0.13,0.04,7.38,6.69,-5.86
32436,-0.13,0.09,6.57,7.33,-6.07
32444,0.04,0.09,7.18,6.88,-6.07
32453,0.13,0.11,7.02,6.95,-6.07
32463,0.04,0.09,7.48,6.65,-6.28
32473,0.13,0.03,7.44,6.56,-6.28
32482,0.04,0.04,6.68,7.21,-6.07
32491,-0.04,0.02,7.13,6.9,-6.28
32500,-0.04,0.09,6.56,7.26,-7.12
32509,-0.13,0.11,7,6.97,-6.7
32519,0.04,0.12,7.05,6.99,-6.91
32528,-0.04,0.08,7.31,6.71,-6.91
32538,0.22,0.07,6.85,7.02,-7.12
32547,0.04,0.12,6.86,7.04,-6.91
32556,0.04,0.09,7.2,6.82,-7.75
32564,0.04,0.1,6.85,7.02,-6.91
32574,0.04,0.09,7.31,6.59,-7.12
32583,0.04,0.04,7.34,6.69,-6.91
32592,0.04,0.06,6.85,7.04,-8.16
32601,0.13,0.1,6.7,7.15,-7.33
32610,0.22,0.11,7.37,6.65,-7.33
32620,0.04,0.04,7.4,6.71,-7.33
32630,-0.04,0.02,6.93,7.07,-7.12
32640,0.22,0.07,6.71,7.11,-7.12
32649,0.04,0.05,7.35,6.72,-7.75
32658,0.04,0.12,6.74,7.21,-7.54
32667,0.13,0.09,7.7,6.42,-7.95
32677,0.13,0.03,6.87,7.05,-7.95
32686,0.04,0.06,6.77,7.09,-7.12
32696,0.04,0.04,7.1,6.86,-7.54
32706,0.13,0.12,6.63,7.28,-7.54
32715,0.04,0.07,7.64,6.46,-8.37
32724,0.13,0.12,6.71,7.26,-7.95
32732,0.13,0.1,6.8,7.1,-8.58
32742,0.13,0.1,7.36,6.83,-7.54
32751,0.13,0.07,7.02,6.82,-8.37
32761,0.13,0.08,6.65,7.17,-8.37
32770,0.13,0.11,6.83,7.11,-7.95
